t,P_TP53,P_BRCA1,P_MYC,P_CCND1,P_PTEN,P_ATM,P_CDKN1A,P_BCL2,P_PARP1,P_AKT1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5025125628140703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0050251256281406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.507537688442211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0100502512562812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5125628140703515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.015075376884422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.517587939698492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0201005025125625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.522613065326633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.025125628140703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.527638190954773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.030150753768844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.532663316582914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.035175879396984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.537688442211055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.040201005025125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.542713567839195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.045226130653266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.547738693467336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.050251256281406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.552763819095476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.055276381909547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.557788944723617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.060301507537687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.562814070351758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.065326633165828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.567839195979898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14.070351758793969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14.572864321608039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.07537688442211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.57788944723618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.08040201005025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.58291457286432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.08542713567839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.587939698492463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.09045226130653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.5929648241206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19.09547738693467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19.597989949748744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20.100502512562812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
